Quarter,TOTAL
Q1-00,4532976
Q2-00,5097939
Q3-00,4915785
Q4-00,4784580
Q1-01,4417662
Q2-01,4648239
Q3-01,4096978
Q4-01,2924490
Q1-02,3195591
Q2-02,3706075
Q3-02,3644641
Q4-02,3369294
Q1-03,3107212
Q2-03,3034759
Q3-03,3757353
Q4-03,3498405
Q1-04,3625990
Q2-04,3962484
Q3-04,4225317
Q4-04,3887378
Q1-05,3916450
Q2-05,4373958
Q3-05,4647980
Q4-05,4365766
Q1-06,4459678
Q2-06,5111033
Q3-06,5175873
Q4-06,4587275
Q1-07,4374154
Q2-07,5196411
Q3-07,5504770
Q4-07,4973759
Q1-08,4711208
Q2-08,5370526
Q3-08,5606838
Q4-08,4548676
Q1-09,3693574
Q2-09,4020052
Q3-09,4435164
Q4-09,4210448
Q1-10,4243006
Q2-10,5162802
Q3-10,5395978
Q4-10,4880534
Q1-11,4675619
Q2-11,5570539
Q3-11,5856265
Q4-11,5052795
Q1-12,8603978
Q2-12,9940572
Q3-12,9912178
Q4-12,8703439
Q1-13,8723110
Q2-13,10003024
Q3-13,10229894
Q4-13,9331106
Q1-14,8696283
Q2-14,10328256
Q3-14,10563671
Q4-14,9312309
Q1-15,8608479
Q2-15,9913459
Q3-15,10305905
Q4-15,9036289
Q1-16,8195291
Q2-16,9395665
Q3-16,9913185
Q4-16,9051740
Q1-17,8420115
Q2-17,9999723
Q3-17,9877966
Q4-17,9438506
Q1-18,9031936
Q2-18,10776602
Q3-18,11003046
Q4-18,10491647
Q1-19,9589287
Q2-19,11401369
Q3-19,11380482
Q4-19,10887402
Q1-20,7978567
Q2-20,1475477
